tests_total,deaths_total,tests_1M_pop,continent,cases_recovered,cases_total,time,deaths_new,cases_active,population,deaths_1M_pop,cases_new,day,cases_1M_pop,country,cases_critical
35716069,130733,776264,South-America,9963910,10094643,2024-03-28T13:30:03+00:00,,0,46010234,2841,,2024-03-28,219400,Argentina,
36951507,143200,717327,South-America,6212152,6400173,2024-03-28T13:30:03+00:00,,44821,51512762,2780,,2024-03-28,124244,Colombia,342
85826548,43206,867342,Asia,10640971,11625195,2024-03-28T13:30:03+00:00,,941018,98953541,437,,2024-03-28,117481,Vietnam,
11002430,6638,1996315,Europe,1503094,1509732,2024-03-28T13:30:03+00:00,,0,5511370,1204,,2024-03-28,273930,Norway,
24756666,2024,4165302,Asia,3004131,3006155,2024-03-28T13:30:03+00:00,,0,5943546,341,,2024-03-28,505785,Singapore,4
50382097,64497,2617225,South-America,5252450,5376599,2024-03-28T13:30:03+00:00,,59652,19250195,3350,,2024-03-28,279301,Chile,7
13083449,9481,2606161,Europe,1724274,1733755,2024-03-28T13:30:03+00:00,,0,5020199,1889,,2024-03-28,345356,Ireland,19
68580916,37348,2066869,Asia,5232213,5277541,2024-03-28T13:30:03+00:00,,7980,33181072,1126,,2024-03-28,159053,Malaysia,11
,1366810,,South-America,66650237,70108311,2024-03-28T13:30:03+00:00,,2091264,,,,2024-03-28,,South-America,8953
63776166,710966,296146,South-America,36249161,38694221,2024-03-28T13:30:03+00:00,,1734094,215353593,3301,,2024-03-28,179678,Brazil,
7768604,5674,1586011,Oceania,2605102,2613670,2024-03-28T13:30:03+00:00,,2894,4898203,1158,,2024-03-28,533598,New-Zealand,
76127725,14731,10011143,Asia,2913820,2933613,2024-03-28T13:30:03+00:00,,5062,7604299,1937,,2024-03-28,385783,Hong-Kong,
122332384,182891,1458359,Europe,38240600,38826304,2024-03-28T13:30:03+00:00,,402813,83883596,2180,,2024-03-28,462859,Germany,
114158919,162063,408975,Asia,6647104,6829162,2024-03-28T13:30:03+00:00,,19995,279134505,581,,2024-03-28,24465,Indonesia,
17273454,34576,246488,Asia,4692636,4768647,2024-03-28T13:30:03+00:00,,41435,70078203,493,,2024-03-28,68048,Thailand,
280910073,196446,4661420,Europe,26356336,26722143,2024-03-28T13:30:03+00:00,,169361,60262770,3260,,2024-03-28,443427,Italy,27
